"","organisation_name","organisation_id","change_disc_inel_hh","change_disc_el_hh","net_change_hh","no_hholds_discretionary_v.x","no_hholds_discretionary_ineligible_v.x","no_hholds_discretionary_v.y","no_hholds_discretionary_ineligible_v.y"
"1","Cambridge City Council","E07000008",0,-1,-1,NA,NA,NA,NA
"2","Cannock Chase District Council","E07000192",1,-1,0,NA,NA,NA,NA
"3","South Tyneside Council","E08000023",4,-6,-2,NA,NA,NA,NA
"4","South Kesteven District Council","E07000141",NA,NA,NA,NA,NA,NA,NA
"5","Fenland District Council","E07000010",0,0,0,NA,NA,NA,NA
"6","South Lakeland District Council","E07000031",0,0,0,NA,NA,NA,NA
"7","Adur District Council","E07000223",0,0,0,NA,NA,NA,NA
"8","Trafford Metropolitan Borough Council","E08000009",7,-7,0,NA,NA,NA,NA
"9","Wokingham Borough Council","E06000041",4,-7,-3,NA,NA,NA,NA
"10","Kirklees Council","E08000034",0,0,0,NA,NA,NA,NA
"11","Rotherham Metropolitan Borough Council","E08000018",1,0,1,NA,NA,NA,NA
"12","Rossendale Borough Council","E07000125",0,-79,-79,NA,NA,NA,NA
"13","Chelmsford City Council","E07000070",0,-53,-53,NA,NA,NA,NA
"14","Redcar and Cleveland Borough Council","E06000003",0,0,0,NA,NA,NA,NA
"15","Eastleigh Borough Council","E07000086",0,6,6,"6 further accounts have since been banded",NA,"6 further accounts have since been banded",NA
"16","Hastings Borough Council","E07000062",8,-8,0,NA,NA,NA,NA
"17","Runnymede Borough Council","E07000212",0,0,0,NA,NA,NA,NA
"18","Cornwall County UA","E06000052",4,-4,0,NA,NA,NA,NA
"19","Hackney London Borough","E09000012",0,0,0,NA,NA,NA,NA
"20","East Devon District Council","E07000040",1,-1,0,NA,NA,NA,NA
"21","North Northamptonshire Council","E06000061",1,-5,-4,NA,NA,NA,NA
"22","Mid Suffolk District Council","E07000203",1,-1,0,NA,NA,NA,NA
"23","Lichfield District Council","E07000194",0,0,0,NA,NA,NA,NA
"24","Hartlepool Borough Council","E06000001",0,0,0,NA,NA,NA,NA
